type,blockNumber,delegator,id,indexer,logIndex,shares,tokens
stakeDelegates,11832460,0x1823d892cc44b50fe506b89db8da9426218cdb76,0x0162017c60a49c634618608e0a078e05b9f5919b7058dc1d3c19a03cc74a9a02-53,0x5a8904be09625965d9aec4bffd30d853438a053e,53,904534236597134899157,932955684539700000000
stakeDelegates,11860879,0x445ea1ccb8c2c984647484ca9bf0d08adafced60,0x000c11ff458217d9849370bef4fd156022b01e26f7d5635c3fdfd79cfbe99487-114,0x4bc2e066fb0857493a1fbe48462bb34ff6ea731f,114,4975000000000000000000,4975000000000000000000
stakeDelegates,11860879,0x445ea1ccb8c2c984647484ca9bf0d08adafced60,0x000c11ff458217d9849370bef4fd156022b01e26f7d5635c3fdfd79cfbe99487-114,0x4bc2e066fb0857493a1fbe48462bb34ff6ea731f,114,4975000000000000000000,4975000000000000000000
stakeDelegates,11867603,0x907a1060ca0f327c70c4d430759778a86e4d0daf,0x00b7af373c0654ed4a46ab3a1fbfa5136070ca321a38ceaad76016e01082071c-302,0x5a8904be09625965d9aec4bffd30d853438a053e,302,121568500946064619557,125658550000000000000
stakeDelegates,11867603,0x907a1060ca0f327c70c4d430759778a86e4d0daf,0x00b7af373c0654ed4a46ab3a1fbfa5136070ca321a38ceaad76016e01082071c-302,0x5a8904be09625965d9aec4bffd30d853438a053e,302,121568500946064619557,125658550000000000000
stakeDelegates,11877993,0x1df0a5bfced8fb5b9eda72e6e500f44292792e76,0x00080339e26c2c83e9fb29023d01305fc97226b308ce8404ae9266f0c5229044-138,0x5a8904be09625965d9aec4bffd30d853438a053e,138,3418633034608005764665,3535145450000000000000
stakeDelegates,11877993,0x1df0a5bfced8fb5b9eda72e6e500f44292792e76,0x00080339e26c2c83e9fb29023d01305fc97226b308ce8404ae9266f0c5229044-138,0x5a8904be09625965d9aec4bffd30d853438a053e,138,3418633034608005764665,3535145450000000000000
stakeDelegates,11882310,0x10e70e34ad70a5142b3b3dd7cc41551a9287ae38,0x004b412c0cd73b9dd2357584c3ceb81617a8855566351ed93cd4e4ebabcc66f9-225,0xf3f182e859f789af8d6c2223d15c691471c79a2b,225,23803253095749268506573,24875000000000000000000
stakeDelegates,11882310,0x10e70e34ad70a5142b3b3dd7cc41551a9287ae38,0x004b412c0cd73b9dd2357584c3ceb81617a8855566351ed93cd4e4ebabcc66f9-225,0xf3f182e859f789af8d6c2223d15c691471c79a2b,225,23803253095749268506573,24875000000000000000000
stakeDelegates,11885479,0x2c74a7fc4befc475a52b43f25ab4ef5cc1b125d2,0x00b9e6447b6872b701b92a64e0452050c8a32ba6f6538bfc2e83046ac4ab5124-233,0x4437e367cc68d87675148a9e4a1f052f0359c880,233,240204450559126849917,243719359490550000000
stakeDelegates,11885479,0x2c74a7fc4befc475a52b43f25ab4ef5cc1b125d2,0x00b9e6447b6872b701b92a64e0452050c8a32ba6f6538bfc2e83046ac4ab5124-233,0x4437e367cc68d87675148a9e4a1f052f0359c880,233,240204450559126849917,243719359490550000000
stakeDelegates,11890382,0xd76f2d4d5072b5a3d24400e6c89c29a6d7ea9d92,0x00f395f0de821a900b2663cf6ca7ea0ed5ad480eea62e0e81e210697cdcb28a6-301,0x4d6a8776a164776c93618233a0003e8894e7e6c2,301,1937676047131333051440,1977065000000000000000
stakeDelegates,11890382,0xd76f2d4d5072b5a3d24400e6c89c29a6d7ea9d92,0x00f395f0de821a900b2663cf6ca7ea0ed5ad480eea62e0e81e210697cdcb28a6-301,0x4d6a8776a164776c93618233a0003e8894e7e6c2,301,1937676047131333051440,1977065000000000000000
stakeDelegates,11896476,0x55ced9be15c06894f63cc5e44cbe044a342114f6,0x006f2c0af17df89325b395d4b8b3bd18fba0ee95683045a4b2ef19ea1c29bd9a-174,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,174,157553731107636315617,165296235580350000000
stakeDelegates,11896476,0x55ced9be15c06894f63cc5e44cbe044a342114f6,0x006f2c0af17df89325b395d4b8b3bd18fba0ee95683045a4b2ef19ea1c29bd9a-174,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,174,157553731107636315617,165296235580350000000
stakeDelegates,11904939,0x80e4ae5f32649796cf3c1038f8a1c8d09be8b6e7,0x012af6458716ac85e354755495c8bad140208adcbc542c5a7f62c828818e6490-138,0x5a8904be09625965d9aec4bffd30d853438a053e,138,197792889259527687362,204869803490050000000
