id,logIndex,blockNumber,indexer,indexingRewardCut,queryFeeCut,type
0x78fbc65899f83eeccbe3cf0707f35bb3edbf6652797292950e93b8d1b3b7b656-302,302,12143150,0xc94a2669f719f792f166800fb6ef00fb3a7f5bec,560000,560000,delegationParametersUpdateds
0x502a8523b9105034de6e04d904d2ff4f83e2a1d0a2e492e2aca0604ac45bb31c-224,224,12143213,0xa3276e7ab0a162f6a3b5aa6b3089accbaa65d12e,915000,915000,delegationParametersUpdateds
0x919f299eb43e80996a7daa8719bbb0bf5c6a6f3b55ad2ccd8d3f5cab27de839b-115,115,12143220,0x7697a886fc3b71a8a88487019337a6bbe5838f1a,750000,750000,delegationParametersUpdateds
0xae4852dca6d6b99f917207403f5cefbf18da6d06cff60d8e980d2176406cfeb9-249,249,12143231,0xc94a2669f719f792f166800fb6ef00fb3a7f5bec,923400,923400,delegationParametersUpdateds
0x228bd57715181391de908bff8ccdd1f0e7314e91a315ac488f8c840f63c6b4da-153,153,12148104,0xd93456bf656436e66a8e0a8835c43a6f59afbb37,1000000,1000000,delegationParametersUpdateds
0x70cec19c70d1fdcfc12d0750fde4dc70e526ae10d68dbe30af41086c1ea2b115-129,129,12155120,0xf4a097ce3a4efbd1748b2ef2076813961e4e6fa7,219691,80000,delegationParametersUpdateds
0x1e9cc925b265a22a2fca900cf173f7d2093b7879c4d83d6a4179edacd745311c-80,80,12156207,0xe7a694696a4d11ac0b7ab2dcb99a7fcf200eb00b,255300,255300,delegationParametersUpdateds
0x596575d8883e0871da92a738d6c9b686209a00ce44b8a48b98506618fd3b8776-282,282,12165070,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,315800,315800,delegationParametersUpdateds
0xb09dbdab28366137f6fdb4948164a9754b16004190fe7e6263cef775ab6ef541-78,78,12165724,0x63c560997b8338f2b033f3ffdcc0f7c680feec45,300000,300000,delegationParametersUpdateds
0x9464b43a6e28775fd0878a8363a400dfc20ce8376958fff967959c3fa2ec7cab-81,81,12165734,0x63c560997b8338f2b033f3ffdcc0f7c680feec45,250000,250000,delegationParametersUpdateds
0x1c36bc0c0af5032399e2eae2825d7c15f844c82021e390979939e4dc28f9a6cb-252,252,12166697,0xbf4af02f7855c7ead52d037349b7a76e48ed47a9,363600,363600,delegationParametersUpdateds
0x6a4ddc8c537cbd4b018e1c848d7d4b4af81045f3e3873f4f8174a832ad06f8f3-262,262,12166859,0xac104dba73822c575713e1ecb06da67af01c54b3,900000,900000,delegationParametersUpdateds
0x001ac5eb5df7271b970b03626486af7f736c184034f3d22659af7cf189998277-185,185,12171000,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,360600,315800,delegationParametersUpdateds
0x828e2d5b662d3aeeb79040d5ebafe0550417185e419fe9395f8c865cef120b88-224,224,12171452,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,364400,150000,delegationParametersUpdateds
