id,blockNumber,logIndex,indexer,delegator,tokens,type
0x24f903b8e81d810b1975da2e2e9a2d4076a78cda03f9275dbba2badb62f72e03-455,13029196,455,0x85fe868adf7f5950b052469075556fb207e5372d,0x1a86f6ca6caedeb6dd8efa9bde15c5b2387f0039,2084701033647901294008,stakeDelegatedWithdrawns
0x1e8a1f417aa507bb12b418d81ff79c9911df23c0864d1c2862d79d757615f20c-492,13029344,492,0x5a8904be09625965d9aec4bffd30d853438a053e,0x7d11d9ad9d6abfc154d3b0b135cc5776d8134a65,5000000000000000000331,stakeDelegatedWithdrawns
0xa8eb5bbbec783ee53fdfa9dcca5b206bd2da0216fdd823038895dfb81f1d2f4a-202,13029875,202,0xa3276e7ab0a162f6a3b5aa6b3089accbaa65d12e,0x01f6ffc227b5a0a45aa8268cdb6c515db565c4bf,997474800405962098149,stakeDelegatedWithdrawns
0xb2f54625f106b556b8c6c75a16611ccd570fbad6f43cb5e83b1165ab78e66415-410,13029971,410,0xf7a36339f75ffaf058be67fd2a1764fb84eb5d87,0x0c1ce91131eb07727481cff9bb235c41a632aa7f,2035397406174826753091,stakeDelegatedWithdrawns
0x09271ab1744599fe10191ab957bb29ef430da1822d21486b43df1826a9ed596c-75,13030536,75,0xbb784d9b398271b7a64f975bebde869409691915,0x6b418a0a93532a660fcfdfcbc74078dae1e43dec,519796975977200800083,stakeDelegatedWithdrawns
0x156fed2fe7702fb12edf7e777cd237aa399feea2b7cf8659eae43bcc9b4fbf2e-323,13031003,323,0x5a8904be09625965d9aec4bffd30d853438a053e,0x397e4922317be1aa463de4233b676d1eadf40765,19342338001216204239838,stakeDelegatedWithdrawns
0xdc931368f9c6a7779d445e41b4c6f98f4965ab657afa9446fc4faf7a3addecfd-192,13031083,192,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,0x397e4922317be1aa463de4233b676d1eadf40765,7118986718078133750380,stakeDelegatedWithdrawns
0x7bdc1c8ffe9c33c73fe4fea3a610c5384a94f5594e3116203acd02ff5b4f4a34-242,13033071,242,0x362717d3fa1bfe457535b9b716f450b95a858217,0x397e4922317be1aa463de4233b676d1eadf40765,2507652183231954754482,stakeDelegatedWithdrawns
0x2043b74070f9ed6efbfc3e381667a6a05ac187cba4e06cd0a3f69666c1acb12d-216,13033516,216,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0x045e2a9db6ca319f6b667813c6088067eb52851e,86892272049817947215011,stakeDelegatedWithdrawns
0x2c55852d98641ea50ba4fa00a28762aced94788506b4aac1d92dc1064bafd786-59,13033519,59,0x6125ea331851367716bee301ecde7f38a7e429e7,0x045e2a9db6ca319f6b667813c6088067eb52851e,61696917905317045808654,stakeDelegatedWithdrawns
0x79c40ef06b8f9e88a49be6ff9464cfea0e1540ec013362cbb007c5c4eed2a16f-54,13033524,54,0x5a8904be09625965d9aec4bffd30d853438a053e,0x045e2a9db6ca319f6b667813c6088067eb52851e,49953856105372135154464,stakeDelegatedWithdrawns
