         2900107660 function calls (2375386070 primitive calls) in 2180.488 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 __init__.py:27(logger)
        9    0.000    0.000    0.000    0.000 base.py:511(_dtype_to_subclass)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
        5    0.000    0.000    0.000    0.000 base.py:6376(default_index)
        6    0.000    0.000    0.000    0.000 range.py:105(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:58(Executor)
       24    0.000    0.000    0.000    0.000 dtypes.py:950(is_dtype)
     11/1    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.000    0.000 concat.py:167(concatenate_managers)
      135    0.000    0.000    0.000    0.000 base.py:43(<genexpr>)
       77    0.000    0.000    0.000    0.000 common.py:1578(_is_dtype_type)
        1    0.000    0.000    0.000    0.000 selector.py:19(<module>)
       77    0.000    0.000    0.000    0.000 generic.py:5464(__getattr__)
       50    0.000    0.000    0.000    0.000 base.py:2130(is_floating)
      951    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 managers.py:1763(<listcomp>)
       16    0.000    0.000    0.000    0.000 common.py:220(asarray_tuplesafe)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
       53    0.000    0.000    0.000    0.000 base.py:4537(__contains__)
        1    0.000    0.000    0.000    0.000 array_ops.py:138(_na_arithmetic_op)
        1    0.000    0.000    0.000    0.000 range.py:434(take)
       39    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
        7    0.000    0.000    0.000    0.000 base.py:2382(inferred_type)
        1    0.000    0.000    0.000    0.000 __init__.py:188(no_update_handler)
       24    0.000    0.000    0.000    0.000 blocks.py:624(should_store)
        6    0.000    0.000    0.000    0.000 config.py:242(__call__)
        6    0.000    0.000    0.000    0.000 managers.py:909(_verify_integrity)
        1    0.000    0.000    0.000    0.000 api.py:165(union_indexes)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       28    0.000    0.000    0.000    0.000 common.py:496(is_categorical_dtype)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
